"Име на кандидат/член на ИнК","Предоставил средства на","От дата","Вид","Размер  1","Стойност 2","Декл. 3"
"АНДРЕЙ ВЪЛЧЕВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"АНДРЕЙ ВЪЛЧЕВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"АНДРЕЙ ВЪЛЧЕВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"АНДРЕЙ ВЪЛЧЕВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","960.00 лв.","0.00 лв.","Свали"
"АНТОН МАНЧЕВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"АТАНАС БОЯДЖИЕВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","0.00 лв.","5000.00 лв.","Свали"
"АТАНАС ЗАФИРОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","0.00 лв.","1000.00 лв.","Свали"
"АТАНАС ЗАФИРОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","0.00 лв.","1000.00 лв.","Свали"
"Богомил Петков","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.10.2024","","1800.00 лв.","0.00 лв.","Свали"
"Николай Томитов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","22.10.2024","","0.00 лв.","432.00 лв.","Свали"
"Николай Томитов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","20.10.2024","","0.00 лв.","499.00 лв.","Свали"
"Александър  Алексанров","ИМА ТАКЪВ НАРОД - Партия","17.10.2024","Кандидат","1570.00 лв.","0.00 лв.","Свали"
"Александър  Вълчев","ИМА ТАКЪВ НАРОД - Партия","17.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Николай Томитов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","16.10.2024","","0.00 лв.","504.00 лв.","Свали"
"Александър Алексанров","ИМА ТАКЪВ НАРОД - Партия","11.10.2024","Кандидат","600.00 лв.","0.00 лв.",""
"Христо Даскалов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","05.10.2024","","0.00 лв.","1000.00 лв.","Свали"
"Искра Михайлова-Копарова","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","30.09.2024","Кандидат","50000.00 лв.","0.00 лв.","Свали"
"Айтен Сабри","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","26.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Айтен Сабри","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Асен Попов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Аспарух Иванов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Атанас Атанасов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Атанас Атанасов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","182.00 лв.","0.00 лв.",""
"Атанас Мангъров","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Байрам Байрам","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","27.09.2024","Кандидат","40000.00 лв.","0.00 лв.","Свали"
"Атидже Алиева-Вели","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","25.09.2024","Кандидат","50000.00 лв.","0.00 лв.","Свали"
"Атидже Алиева-Вели","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Член на инициативен комитет","10000.00 лв.","0.00 лв.","Свали"
"БОГДАН  КИРИЛОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"БОРИС АЛАДЖОВ","ВЪЗРАЖДАНЕ - Партия","02.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"БОРИСЛАВ ПЛЕСТОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"Байрам Байрам","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Биляна Иванова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Бисер - Любослав Илиев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Бистра Борисова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Благомир Дечев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","500.00 лв.","0.00 лв.",""
"Богомил  Петков","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","14.10.2024","","5000.00 лв.","0.00 лв.","Свали"
"Богдан Богданов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","11.10.2024","","4000.00 лв.","0.00 лв.","Свали"
"Богдан  Богданов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","02.10.2024","Кандидат","0.00 лв.","740.00 лв.","Свали"
"Божидар Миланов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Борис Ячев","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","4000.00 лв.","0.00 лв.","Свали"
"Борис Ячев","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","2740.00 лв.","0.00 лв.","Свали"
"Борис Ячев","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","3000.00 лв.","0.00 лв.","Свали"
"Борислав Михайлов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Боян  Иванов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Боян Бойчев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"ВАЛЕРИ  МИТОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"ВЕСЕЛИН ВЕШЕВ","ВЪЗРАЖДАНЕ - Партия","02.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"ВЛАДИМИР  МАРИНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"ВЛАДИМИР БАМБАЛОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Валентин Пейков","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Васил Аврамов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Васил Пандов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","15.10.2024","","0.00 лв.","3520.50 лв.","Свали"
"Васил Стефанов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","09.10.2024","","20000.00 лв.","0.00 лв.","Свали"
"Венета Йорданова","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","698.40 лв.","0.00 лв.",""
"Венета Йорданова","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","221.18 лв.","0.00 лв.","Свали"
"Венета Йорданова","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","480.00 лв.","0.00 лв.","Свали"
"Венета Райкова","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","500.00 лв.","0.00 лв.",""
"Венко Сабрутев","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","22.10.2024","","0.00 лв.","3074.57 лв.","Свали"
"Венко Сабрутев","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","17.10.2024","","300.00 лв.","0.00 лв.","Свали"
"Венко Сабрутев","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","04.10.2024","","0.00 лв.","6722.81 лв.","Свали"
"Весела Кирова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Веска Андонова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Виктория Каракостова-Нешева","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","900.00 лв.","0.00 лв.","Свали"
"Вили Лилков","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","5000.00 лв.","0.00 лв.","Свали"
"Вили Лилков","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","5000.00 лв.","0.00 лв.","Свали"
"Владимир Грамовски","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Владимир Маринов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"ГАБРИЕЛ ВЪЛКОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","2880.00 лв.","0.00 лв.","Свали"
"ГЕОРГИ ИВАНОВ","ВЪЗРАЖДАНЕ - Партия","02.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"ГЕОРГИ КОСТОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"ГЕОРГИ ФИЛИПОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"ГЕРГАНА СТАНОЕВА","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"Габриел  Вълков","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Галина Господинова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","800.00 лв.","0.00 лв.",""
"Георги  Линджев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Георги Борисов","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Георги Пилев","СВОБОДНИ ИЗБИРАТЕЛИ - Коалиция","","Кандидат","3000.00 лв.","0.00 лв.","Свали"
"Гурко Митев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Гълъбина Карамитрева","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"ДИМАНА АНГЕЛОВА","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"ДИМИТЪР ГЮРЕВ","ВЪЗРАЖДАНЕ - Партия","02.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Деница Иванова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Деница Симеонова","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","24.10.2024","","5000.00 лв.","0.00 лв.","Свали"
"Деница Янакиева","БЪЛГАРСКИ ВЪЗХОД - Партия","07.10.2024","","500.00 лв.","0.00 лв.",""
"Десислава Борисова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Джипо Джипов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","21.10.2024","","0.00 лв.","72.00 лв.",""
"Джипо Джипов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","16.10.2024","","0.00 лв.","120.00 лв.",""
